sar_id,typology,country,risk_score,narrative
SAR21048,Rapid Movement of Funds,IN,0.93,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21049,Trade Based Money Laundering,KY,0.84,Large sums were moved across several jurisdictions within short time intervals.
SAR21050,Round Tripping,US,0.74,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21051,Mule Account,AE,0.91,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21052,Rapid Movement of Funds,UK,0.66,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21053,Rapid Movement of Funds,UK,0.78,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21054,Layering,IN,0.96,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21055,Shell Company Transfers,UK,0.86,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21056,Round Tripping,NG,0.68,Large sums were moved across several jurisdictions within short time intervals.
SAR21057,Round Tripping,SG,0.97,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21058,Crypto Laundering,NG,0.96,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21059,Crypto Laundering,NG,0.97,Large sums were moved across several jurisdictions within short time intervals.
SAR21060,Structuring,RU,0.74,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21061,Layering,IN,0.95,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21062,Shell Company Transfers,RU,0.91,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21063,Rapid Movement of Funds,US,0.68,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21064,Rapid Movement of Funds,UK,0.79,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21065,Mule Account,UK,0.86,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21066,Rapid Movement of Funds,SG,0.8,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21067,Crypto Laundering,IN,0.7,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21068,Mule Account,IN,0.87,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21069,Shell Company Transfers,RU,0.93,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21070,Shell Company Transfers,UK,0.82,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21071,Mule Account,AE,0.95,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21072,Structuring,AE,0.78,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21073,Layering,IN,0.73,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21074,Structuring,KY,0.79,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21075,Trade Based Money Laundering,IN,0.9,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21076,Trade Based Money Laundering,IN,0.73,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21077,Layering,AE,0.97,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21078,Round Tripping,SG,0.86,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21079,Round Tripping,NG,0.95,Large sums were moved across several jurisdictions within short time intervals.
SAR21080,Shell Company Transfers,US,0.7,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21081,Mule Account,UK,0.68,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21082,Shell Company Transfers,RU,0.71,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21083,Mule Account,SG,0.93,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21084,Mule Account,US,0.93,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21085,Shell Company Transfers,IN,0.96,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21086,Round Tripping,SG,0.96,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21087,Rapid Movement of Funds,SG,0.8,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21088,Structuring,IN,0.91,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21089,Rapid Movement of Funds,KY,0.7,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21090,Rapid Movement of Funds,SG,0.97,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21091,Shell Company Transfers,NG,0.81,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21092,Structuring,KY,0.79,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21093,Mule Account,US,0.92,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21094,Trade Based Money Laundering,IN,0.73,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21095,Layering,KY,0.87,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21096,Shell Company Transfers,US,0.9,Large sums were moved across several jurisdictions within short time intervals.
SAR21097,Shell Company Transfers,IN,0.95,Large sums were moved across several jurisdictions within short time intervals.
SAR21098,Structuring,NG,0.86,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21099,Crypto Laundering,SG,0.97,Large sums were moved across several jurisdictions within short time intervals.
SAR21100,Shell Company Transfers,SG,0.89,Large sums were moved across several jurisdictions within short time intervals.
SAR21101,Structuring,SG,0.72,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21102,Mule Account,US,0.67,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21103,Round Tripping,IN,0.86,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21104,Shell Company Transfers,IN,0.97,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21105,Shell Company Transfers,UK,0.85,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21106,Crypto Laundering,KY,0.95,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21107,Crypto Laundering,KY,0.88,Large sums were moved across several jurisdictions within short time intervals.
SAR21108,Rapid Movement of Funds,AE,0.88,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21109,Mule Account,IN,0.66,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21110,Mule Account,US,0.9,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21111,Shell Company Transfers,NG,0.74,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21112,Structuring,US,0.91,Large sums were moved across several jurisdictions within short time intervals.
SAR21113,Layering,US,0.86,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21114,Rapid Movement of Funds,NG,0.73,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21115,Structuring,SG,0.85,Large sums were moved across several jurisdictions within short time intervals.
SAR21116,Layering,AE,0.85,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21117,Mule Account,SG,0.85,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21118,Round Tripping,US,0.87,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21119,Crypto Laundering,AE,0.88,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21120,Crypto Laundering,NG,0.67,Large sums were moved across several jurisdictions within short time intervals.
SAR21121,Rapid Movement of Funds,KY,0.95,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21122,Structuring,SG,0.66,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21123,Structuring,UK,0.89,Large sums were moved across several jurisdictions within short time intervals.
SAR21124,Rapid Movement of Funds,UK,0.96,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21125,Mule Account,RU,0.75,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21126,Structuring,AE,0.81,Large sums were moved across several jurisdictions within short time intervals.
SAR21127,Structuring,IN,0.73,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21128,Round Tripping,SG,0.9,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21129,Rapid Movement of Funds,AE,0.8,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21130,Shell Company Transfers,US,0.81,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21131,Trade Based Money Laundering,IN,0.86,Large sums were moved across several jurisdictions within short time intervals.
SAR21132,Rapid Movement of Funds,NG,0.66,Large sums were moved across several jurisdictions within short time intervals.
SAR21133,Layering,AE,0.94,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21134,Mule Account,RU,0.87,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21135,Mule Account,UK,0.93,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21136,Trade Based Money Laundering,SG,0.69,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21137,Layering,RU,0.93,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21138,Structuring,KY,0.86,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21139,Crypto Laundering,RU,0.81,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21140,Trade Based Money Laundering,IN,0.82,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21141,Mule Account,NG,0.75,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21142,Mule Account,NG,0.88,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21143,Crypto Laundering,RU,0.84,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21144,Mule Account,NG,0.7,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21145,Trade Based Money Laundering,AE,0.73,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21146,Layering,NG,0.9,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21147,Shell Company Transfers,RU,0.69,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21148,Crypto Laundering,SG,0.81,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21149,Rapid Movement of Funds,SG,0.77,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21150,Crypto Laundering,SG,0.92,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21151,Trade Based Money Laundering,UK,0.94,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21152,Rapid Movement of Funds,IN,0.67,Large sums were moved across several jurisdictions within short time intervals.
SAR21153,Round Tripping,SG,0.77,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21154,Trade Based Money Laundering,UK,0.75,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21155,Crypto Laundering,RU,0.97,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21156,Trade Based Money Laundering,IN,0.96,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21157,Trade Based Money Laundering,UK,0.65,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21158,Rapid Movement of Funds,US,0.66,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21159,Rapid Movement of Funds,SG,0.71,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21160,Trade Based Money Laundering,IN,0.86,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21161,Mule Account,IN,0.76,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21162,Layering,NG,0.72,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21163,Structuring,RU,0.86,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21164,Round Tripping,RU,0.82,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21165,Shell Company Transfers,RU,0.85,Large sums were moved across several jurisdictions within short time intervals.
SAR21166,Shell Company Transfers,RU,0.85,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21167,Trade Based Money Laundering,IN,0.93,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21168,Crypto Laundering,UK,0.97,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21169,Crypto Laundering,NG,0.89,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21170,Mule Account,IN,0.81,Large sums were moved across several jurisdictions within short time intervals.
SAR21171,Crypto Laundering,AE,0.74,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21172,Layering,NG,0.95,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21173,Round Tripping,NG,0.9,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21174,Crypto Laundering,US,0.83,Large sums were moved across several jurisdictions within short time intervals.
SAR21175,Round Tripping,UK,0.86,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21176,Mule Account,NG,0.9,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21177,Shell Company Transfers,UK,0.87,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21178,Trade Based Money Laundering,RU,0.78,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21179,Rapid Movement of Funds,NG,0.89,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21180,Shell Company Transfers,UK,0.95,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21181,Shell Company Transfers,AE,0.91,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21182,Rapid Movement of Funds,IN,0.81,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21183,Crypto Laundering,US,0.77,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21184,Structuring,IN,0.8,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21185,Mule Account,IN,0.79,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21186,Trade Based Money Laundering,AE,0.86,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21187,Structuring,SG,0.87,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21188,Mule Account,UK,0.9,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21189,Structuring,IN,0.8,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21190,Crypto Laundering,KY,0.91,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21191,Mule Account,AE,0.81,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21192,Round Tripping,NG,0.85,Large sums were moved across several jurisdictions within short time intervals.
SAR21193,Trade Based Money Laundering,NG,0.98,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21194,Rapid Movement of Funds,IN,0.84,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21195,Structuring,UK,0.91,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21196,Round Tripping,NG,0.89,Large sums were moved across several jurisdictions within short time intervals.
SAR21197,Crypto Laundering,AE,0.91,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21198,Structuring,NG,0.82,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21199,Round Tripping,RU,0.79,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21200,Rapid Movement of Funds,NG,0.97,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21201,Layering,AE,0.82,Large sums were moved across several jurisdictions within short time intervals.
SAR21202,Layering,KY,0.95,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21203,Crypto Laundering,RU,0.8,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21204,Trade Based Money Laundering,US,0.83,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21205,Layering,NG,0.7,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21206,Trade Based Money Laundering,RU,0.86,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21207,Layering,IN,0.74,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21208,Mule Account,KY,0.97,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21209,Shell Company Transfers,RU,0.82,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21210,Rapid Movement of Funds,IN,0.71,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21211,Mule Account,US,0.66,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21212,Layering,AE,0.89,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21213,Crypto Laundering,AE,0.79,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21214,Crypto Laundering,KY,0.83,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21215,Mule Account,US,0.82,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21216,Trade Based Money Laundering,IN,0.91,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21217,Shell Company Transfers,SG,0.67,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21218,Mule Account,RU,0.9,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21219,Rapid Movement of Funds,RU,0.97,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21220,Crypto Laundering,KY,0.94,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21221,Shell Company Transfers,AE,0.77,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21222,Mule Account,AE,0.91,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21223,Round Tripping,NG,0.96,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21224,Structuring,UK,0.75,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21225,Shell Company Transfers,IN,0.69,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21226,Structuring,IN,0.81,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21227,Round Tripping,UK,0.67,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21228,Shell Company Transfers,UK,0.74,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21229,Trade Based Money Laundering,NG,0.72,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21230,Round Tripping,IN,0.71,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21231,Shell Company Transfers,UK,0.73,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21232,Mule Account,NG,0.94,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21233,Rapid Movement of Funds,RU,0.75,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21234,Layering,RU,0.92,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21235,Structuring,IN,0.75,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21236,Rapid Movement of Funds,US,0.95,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21237,Layering,IN,0.91,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21238,Mule Account,UK,0.86,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21239,Rapid Movement of Funds,US,0.67,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21240,Crypto Laundering,US,0.81,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21241,Structuring,SG,0.76,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21242,Round Tripping,UK,0.74,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21243,Mule Account,US,0.96,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21244,Structuring,SG,0.73,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21245,Mule Account,AE,0.93,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21246,Layering,AE,0.71,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21247,Round Tripping,KY,0.87,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21248,Layering,NG,0.88,Large sums were moved across several jurisdictions within short time intervals.
SAR21249,Trade Based Money Laundering,NG,0.95,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21250,Crypto Laundering,IN,0.86,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21251,Trade Based Money Laundering,SG,0.78,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21252,Shell Company Transfers,NG,0.75,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21253,Rapid Movement of Funds,AE,0.77,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21254,Layering,KY,0.82,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21255,Mule Account,NG,0.87,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21256,Round Tripping,UK,0.86,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21257,Rapid Movement of Funds,NG,0.97,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21258,Mule Account,KY,0.66,Large sums were moved across several jurisdictions within short time intervals.
SAR21259,Crypto Laundering,IN,0.79,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21260,Layering,UK,0.92,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21261,Crypto Laundering,IN,0.75,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21262,Rapid Movement of Funds,RU,0.88,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21263,Layering,UK,0.93,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21264,Round Tripping,US,0.98,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21265,Shell Company Transfers,UK,0.98,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21266,Structuring,KY,0.82,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21267,Shell Company Transfers,US,0.81,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21268,Shell Company Transfers,US,0.97,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21269,Trade Based Money Laundering,US,0.9,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21270,Crypto Laundering,NG,0.72,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21271,Layering,AE,0.84,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21272,Trade Based Money Laundering,US,0.72,Large sums were moved across several jurisdictions within short time intervals.
SAR21273,Structuring,SG,0.83,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21274,Shell Company Transfers,UK,0.92,Large sums were moved across several jurisdictions within short time intervals.
SAR21275,Layering,IN,0.78,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21276,Round Tripping,IN,0.94,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21277,Trade Based Money Laundering,NG,0.79,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
