entity,source,risk_type,risk_score,description,date
ACCT200214,Open Source Intelligence,Terror Financing Link,0.47,Associated with high-risk cryptocurrency exchange activity,2025-02-18
ACCT200002,Social Media Monitoring,Negative Media,0.46,Negative media coverage related to corruption allegations,2024-12-20
CUST90104,Open Source Intelligence,Negative Media,0.54,Linked to offshore shell company registered in Cayman Islands,2025-01-05
CUST90297,Sanctions Watchlist,Fraud Investigation Mention,0.89,Mentioned in regulatory investigation related to financial misconduct,2025-06-12
ACCT200326,Social Media Monitoring,Politically Exposed Person Link,0.55,Associated with high-risk cryptocurrency exchange activity,2024-11-07
ACCT200135,Dark Web Monitoring,Shell Company Association,0.68,Negative media coverage related to corruption allegations,2024-03-28
ACCT200446,Sanctions Watchlist,Shell Company Association,0.46,Linked to offshore shell company registered in Cayman Islands,2024-12-24
ACCT200071,Social Media Monitoring,Negative Media,0.87,Associated with high-risk cryptocurrency exchange activity,2024-06-02
ACCT200470,Social Media Monitoring,Offshore Account Activity,0.77,Mentioned in regulatory investigation related to financial misconduct,2025-01-06
CUST90131,Social Media Monitoring,Crypto Laundering Indicator,0.7,Negative media coverage related to corruption allegations,2024-07-19
CUST90075,Sanctions Watchlist,Negative Media,0.78,Named in leaked documents involving offshore tax structures,2025-04-08
CUST90195,Open Source Intelligence,Negative Media,0.53,Mentioned in regulatory investigation related to financial misconduct,2024-08-08
CUST90054,Regulatory Bulletin,Crypto Laundering Indicator,0.75,Associated with high-risk cryptocurrency exchange activity,2024-10-13
ACCT200195,Dark Web Monitoring,Offshore Account Activity,0.66,Identified in sanctions advisory regarding suspicious financial networks,2024-10-16
ACCT200136,Social Media Monitoring,Offshore Account Activity,0.7,Linked to offshore shell company registered in Cayman Islands,2024-05-21
CUST90238,Open Source Intelligence,Terror Financing Link,0.67,Linked to offshore shell company registered in Cayman Islands,2025-05-27
ACCT200118,Dark Web Monitoring,Negative Media,0.72,Referenced in dark web forum discussing illicit financial transfers,2024-10-14
CUST90023,Regulatory Bulletin,Crypto Laundering Indicator,0.58,Linked to offshore shell company registered in Cayman Islands,2025-07-19
ACCT200167,Social Media Monitoring,Negative Media,0.47,Negative media coverage related to corruption allegations,2024-03-31
CUST90114,Financial News Feed,Terror Financing Link,0.91,Linked to offshore shell company registered in Cayman Islands,2024-08-01
CUST90085,Dark Web Monitoring,Crypto Laundering Indicator,0.5,Linked to offshore shell company registered in Cayman Islands,2025-02-18
CUST90046,Dark Web Monitoring,Crypto Laundering Indicator,0.73,Associated with high-risk cryptocurrency exchange activity,2024-12-27
ACCT200081,Financial News Feed,Sanctions Exposure,0.81,Named in leaked documents involving offshore tax structures,2024-07-03
ACCT200064,Regulatory Bulletin,Negative Media,0.78,Mentioned in regulatory investigation related to financial misconduct,2025-04-18
ACCT200195,Sanctions Watchlist,Crypto Laundering Indicator,0.57,Associated with high-risk cryptocurrency exchange activity,2025-06-26
ACCT200243,Regulatory Bulletin,Crypto Laundering Indicator,0.67,Linked to offshore shell company registered in Cayman Islands,2025-04-10
CUST90156,Open Source Intelligence,Offshore Account Activity,0.61,Identified in sanctions advisory regarding suspicious financial networks,2025-01-02
ACCT200343,Regulatory Bulletin,Politically Exposed Person Link,0.8,Associated with high-risk cryptocurrency exchange activity,2024-01-02
CUST90227,Financial News Feed,Terror Financing Link,0.83,Negative media coverage related to corruption allegations,2024-02-17
ACCT200494,Financial News Feed,Negative Media,0.56,Linked to offshore shell company registered in Cayman Islands,2024-06-27
ACCT200491,Sanctions Watchlist,Sanctions Exposure,0.53,Named in leaked documents involving offshore tax structures,2025-01-10
CUST90262,Dark Web Monitoring,Crypto Laundering Indicator,0.54,Associated with high-risk cryptocurrency exchange activity,2024-05-07
ACCT200116,Sanctions Watchlist,Sanctions Exposure,0.46,Negative media coverage related to corruption allegations,2025-08-01
ACCT200321,Sanctions Watchlist,Shell Company Association,0.81,Referenced in dark web forum discussing illicit financial transfers,2024-02-26
CUST90283,Open Source Intelligence,Politically Exposed Person Link,0.93,Negative media coverage related to corruption allegations,2025-03-12
ACCT200042,Open Source Intelligence,Terror Financing Link,0.51,Linked to offshore shell company registered in Cayman Islands,2024-04-29
ACCT200337,Social Media Monitoring,Terror Financing Link,0.88,Referenced in dark web forum discussing illicit financial transfers,2025-02-12
ACCT200043,Sanctions Watchlist,Negative Media,0.97,Linked to offshore shell company registered in Cayman Islands,2024-06-27
ACCT200072,Open Source Intelligence,Terror Financing Link,0.82,Connected to politically exposed individual under investigation,2024-01-21
CUST90107,Regulatory Bulletin,Shell Company Association,0.97,Mentioned in regulatory investigation related to financial misconduct,2025-08-19
ACCT200123,Regulatory Bulletin,Fraud Investigation Mention,0.54,Linked to offshore shell company registered in Cayman Islands,2024-08-05
CUST90175,Sanctions Watchlist,Fraud Investigation Mention,0.7,Mentioned in regulatory investigation related to financial misconduct,2025-07-14
ACCT200189,Regulatory Bulletin,Terror Financing Link,0.98,Named in leaked documents involving offshore tax structures,2024-05-20
CUST90169,Sanctions Watchlist,Politically Exposed Person Link,0.59,Mentioned in regulatory investigation related to financial misconduct,2024-10-06
CUST90064,Social Media Monitoring,Politically Exposed Person Link,0.49,Mentioned in regulatory investigation related to financial misconduct,2024-12-18
CUST90125,Regulatory Bulletin,Offshore Account Activity,0.51,Mentioned in regulatory investigation related to financial misconduct,2024-04-20
ACCT200004,Dark Web Monitoring,Politically Exposed Person Link,0.49,Referenced in dark web forum discussing illicit financial transfers,2025-06-19
CUST90030,Sanctions Watchlist,Fraud Investigation Mention,0.84,Identified in sanctions advisory regarding suspicious financial networks,2025-03-19
CUST90298,Dark Web Monitoring,Fraud Investigation Mention,0.93,Associated with high-risk cryptocurrency exchange activity,2024-10-17
ACCT200245,Financial News Feed,Politically Exposed Person Link,0.49,Linked to offshore shell company registered in Cayman Islands,2024-02-24
ACCT200268,Social Media Monitoring,Fraud Investigation Mention,0.46,Named in leaked documents involving offshore tax structures,2025-07-22
CUST90135,Dark Web Monitoring,Sanctions Exposure,0.64,Named in leaked documents involving offshore tax structures,2024-08-13
ACCT200046,Financial News Feed,Sanctions Exposure,0.78,Identified in sanctions advisory regarding suspicious financial networks,2025-01-20
ACCT200071,Open Source Intelligence,Terror Financing Link,0.95,Mentioned in regulatory investigation related to financial misconduct,2025-06-12
ACCT200463,Regulatory Bulletin,Sanctions Exposure,0.5,Identified in sanctions advisory regarding suspicious financial networks,2024-11-24
ACCT200037,Dark Web Monitoring,Fraud Investigation Mention,0.78,Named in leaked documents involving offshore tax structures,2025-01-19
ACCT200425,Regulatory Bulletin,Negative Media,0.57,Connected to politically exposed individual under investigation,2025-07-23
CUST90157,Social Media Monitoring,Shell Company Association,0.51,Identified in sanctions advisory regarding suspicious financial networks,2024-01-18
ACCT200006,Sanctions Watchlist,Terror Financing Link,0.73,Associated with high-risk cryptocurrency exchange activity,2024-03-23
ACCT200273,Open Source Intelligence,Fraud Investigation Mention,0.77,Negative media coverage related to corruption allegations,2025-07-13
CUST90198,Social Media Monitoring,Negative Media,0.65,Negative media coverage related to corruption allegations,2024-02-13
ACCT200033,Dark Web Monitoring,Fraud Investigation Mention,0.77,Mentioned in regulatory investigation related to financial misconduct,2025-04-18
CUST90075,Social Media Monitoring,Sanctions Exposure,0.96,Named in leaked documents involving offshore tax structures,2024-04-12
ACCT200323,Dark Web Monitoring,Fraud Investigation Mention,0.77,Identified in sanctions advisory regarding suspicious financial networks,2024-10-19
ACCT200177,Open Source Intelligence,Crypto Laundering Indicator,0.77,Negative media coverage related to corruption allegations,2024-09-12
ACCT200457,Sanctions Watchlist,Offshore Account Activity,0.64,Referenced in dark web forum discussing illicit financial transfers,2024-10-09
ACCT200350,Sanctions Watchlist,Fraud Investigation Mention,0.84,Linked to offshore shell company registered in Cayman Islands,2025-06-29
ACCT200018,Regulatory Bulletin,Terror Financing Link,0.78,Connected to politically exposed individual under investigation,2024-10-28
CUST90179,Social Media Monitoring,Fraud Investigation Mention,0.8,Negative media coverage related to corruption allegations,2024-03-06
CUST90017,Sanctions Watchlist,Shell Company Association,0.72,Negative media coverage related to corruption allegations,2024-05-29
CUST90284,Financial News Feed,Crypto Laundering Indicator,0.91,Identified in sanctions advisory regarding suspicious financial networks,2025-07-11
ACCT200215,Regulatory Bulletin,Fraud Investigation Mention,0.87,Linked to offshore shell company registered in Cayman Islands,2024-11-23
CUST90130,Open Source Intelligence,Negative Media,0.7,Named in leaked documents involving offshore tax structures,2024-04-10
CUST90143,Financial News Feed,Negative Media,0.82,Linked to offshore shell company registered in Cayman Islands,2024-07-07
CUST90198,Regulatory Bulletin,Fraud Investigation Mention,0.94,Connected to politically exposed individual under investigation,2025-02-10
CUST90166,Dark Web Monitoring,Fraud Investigation Mention,0.65,Associated with high-risk cryptocurrency exchange activity,2025-06-27
ACCT200068,Open Source Intelligence,Politically Exposed Person Link,0.45,Connected to politically exposed individual under investigation,2025-01-10
CUST90257,Regulatory Bulletin,Sanctions Exposure,0.79,Linked to offshore shell company registered in Cayman Islands,2024-10-20
CUST90094,Dark Web Monitoring,Terror Financing Link,0.87,Mentioned in regulatory investigation related to financial misconduct,2025-07-04
ACCT200393,Social Media Monitoring,Negative Media,0.97,Mentioned in regulatory investigation related to financial misconduct,2024-03-26
ACCT200253,Social Media Monitoring,Sanctions Exposure,0.95,Identified in sanctions advisory regarding suspicious financial networks,2024-03-06
CUST90011,Financial News Feed,Terror Financing Link,0.64,Identified in sanctions advisory regarding suspicious financial networks,2025-06-22
ACCT200380,Open Source Intelligence,Sanctions Exposure,0.78,Referenced in dark web forum discussing illicit financial transfers,2024-08-23
ACCT200339,Regulatory Bulletin,Politically Exposed Person Link,0.68,Connected to politically exposed individual under investigation,2024-04-13
ACCT200030,Dark Web Monitoring,Politically Exposed Person Link,0.97,Referenced in dark web forum discussing illicit financial transfers,2024-08-16
ACCT200147,Sanctions Watchlist,Crypto Laundering Indicator,0.91,Identified in sanctions advisory regarding suspicious financial networks,2024-02-28
CUST90230,Dark Web Monitoring,Offshore Account Activity,0.59,Negative media coverage related to corruption allegations,2024-10-26
ACCT200440,Sanctions Watchlist,Fraud Investigation Mention,0.74,Connected to politically exposed individual under investigation,2024-03-14
CUST90218,Sanctions Watchlist,Sanctions Exposure,0.89,Named in leaked documents involving offshore tax structures,2025-01-19
ACCT200069,Social Media Monitoring,Negative Media,0.94,Mentioned in regulatory investigation related to financial misconduct,2024-07-15
ACCT200490,Social Media Monitoring,Fraud Investigation Mention,0.54,Identified in sanctions advisory regarding suspicious financial networks,2025-06-09
CUST90204,Regulatory Bulletin,Negative Media,0.69,Connected to politically exposed individual under investigation,2024-03-23
ACCT200012,Open Source Intelligence,Crypto Laundering Indicator,0.69,Associated with high-risk cryptocurrency exchange activity,2024-05-18
CUST90297,Social Media Monitoring,Sanctions Exposure,0.63,Referenced in dark web forum discussing illicit financial transfers,2025-07-01
ACCT200463,Sanctions Watchlist,Negative Media,0.57,Connected to politically exposed individual under investigation,2025-07-23
CUST90240,Social Media Monitoring,Politically Exposed Person Link,0.83,Mentioned in regulatory investigation related to financial misconduct,2024-02-17
ACCT200196,Sanctions Watchlist,Shell Company Association,0.56,Associated with high-risk cryptocurrency exchange activity,2024-10-06
ACCT200075,Dark Web Monitoring,Crypto Laundering Indicator,0.65,Identified in sanctions advisory regarding suspicious financial networks,2024-12-10
ACCT200364,Dark Web Monitoring,Shell Company Association,0.73,Associated with high-risk cryptocurrency exchange activity,2024-10-07
ACCT200201,Open Source Intelligence,Fraud Investigation Mention,0.69,Negative media coverage related to corruption allegations,2024-08-25
ACCT200178,Social Media Monitoring,Offshore Account Activity,0.58,Negative media coverage related to corruption allegations,2025-01-21
CUST90235,Regulatory Bulletin,Offshore Account Activity,0.65,Connected to politically exposed individual under investigation,2024-06-24
ACCT200291,Social Media Monitoring,Politically Exposed Person Link,0.72,Identified in sanctions advisory regarding suspicious financial networks,2025-04-23
ACCT200143,Open Source Intelligence,Politically Exposed Person Link,0.63,Negative media coverage related to corruption allegations,2024-04-17
ACCT200358,Sanctions Watchlist,Negative Media,0.71,Mentioned in regulatory investigation related to financial misconduct,2025-06-29
CUST90016,Dark Web Monitoring,Negative Media,0.48,Mentioned in regulatory investigation related to financial misconduct,2024-08-15
ACCT200323,Social Media Monitoring,Crypto Laundering Indicator,0.54,Associated with high-risk cryptocurrency exchange activity,2025-07-11
CUST90265,Financial News Feed,Terror Financing Link,0.49,Named in leaked documents involving offshore tax structures,2024-12-23
ACCT200113,Dark Web Monitoring,Fraud Investigation Mention,0.97,Mentioned in regulatory investigation related to financial misconduct,2025-07-13
CUST90254,Social Media Monitoring,Politically Exposed Person Link,0.83,Negative media coverage related to corruption allegations,2024-01-05
CUST90241,Dark Web Monitoring,Politically Exposed Person Link,0.64,Linked to offshore shell company registered in Cayman Islands,2024-03-30
ACCT200321,Social Media Monitoring,Politically Exposed Person Link,0.89,Negative media coverage related to corruption allegations,2025-01-14
CUST90290,Financial News Feed,Offshore Account Activity,0.54,Named in leaked documents involving offshore tax structures,2024-12-04
ACCT200285,Financial News Feed,Crypto Laundering Indicator,0.82,Mentioned in regulatory investigation related to financial misconduct,2025-03-23
ACCT200300,Regulatory Bulletin,Terror Financing Link,0.7,Negative media coverage related to corruption allegations,2025-07-28
CUST90122,Social Media Monitoring,Fraud Investigation Mention,0.73,Identified in sanctions advisory regarding suspicious financial networks,2024-05-23
CUST90032,Sanctions Watchlist,Terror Financing Link,0.98,Linked to offshore shell company registered in Cayman Islands,2025-08-15
ACCT200317,Dark Web Monitoring,Offshore Account Activity,0.59,Referenced in dark web forum discussing illicit financial transfers,2025-05-27
ACCT200469,Open Source Intelligence,Shell Company Association,0.77,Negative media coverage related to corruption allegations,2025-06-15
ACCT200318,Regulatory Bulletin,Crypto Laundering Indicator,0.61,Mentioned in regulatory investigation related to financial misconduct,2025-03-01
ACCT200180,Open Source Intelligence,Sanctions Exposure,0.87,Identified in sanctions advisory regarding suspicious financial networks,2025-04-16
CUST90076,Financial News Feed,Politically Exposed Person Link,0.45,Named in leaked documents involving offshore tax structures,2025-07-13
CUST90249,Regulatory Bulletin,Politically Exposed Person Link,0.45,Named in leaked documents involving offshore tax structures,2024-07-25
CUST90071,Financial News Feed,Negative Media,0.82,Associated with high-risk cryptocurrency exchange activity,2024-07-06
ACCT200293,Regulatory Bulletin,Fraud Investigation Mention,0.72,Referenced in dark web forum discussing illicit financial transfers,2024-07-17
ACCT200457,Open Source Intelligence,Offshore Account Activity,0.97,Connected to politically exposed individual under investigation,2024-06-23
ACCT200008,Financial News Feed,Sanctions Exposure,0.73,Referenced in dark web forum discussing illicit financial transfers,2024-11-12
ACCT200151,Financial News Feed,Offshore Account Activity,0.84,Negative media coverage related to corruption allegations,2024-09-26
CUST90115,Regulatory Bulletin,Negative Media,0.56,Connected to politically exposed individual under investigation,2024-10-25
ACCT200372,Sanctions Watchlist,Sanctions Exposure,0.68,Identified in sanctions advisory regarding suspicious financial networks,2024-01-28
ACCT200328,Sanctions Watchlist,Offshore Account Activity,0.69,Identified in sanctions advisory regarding suspicious financial networks,2024-12-13
CUST90191,Open Source Intelligence,Terror Financing Link,0.7,Associated with high-risk cryptocurrency exchange activity,2024-07-02
ACCT200222,Social Media Monitoring,Sanctions Exposure,0.66,Connected to politically exposed individual under investigation,2025-05-09
ACCT200018,Financial News Feed,Offshore Account Activity,0.61,Linked to offshore shell company registered in Cayman Islands,2024-01-31
ACCT200337,Open Source Intelligence,Negative Media,0.6,Referenced in dark web forum discussing illicit financial transfers,2024-01-17
CUST90093,Open Source Intelligence,Crypto Laundering Indicator,0.96,Linked to offshore shell company registered in Cayman Islands,2024-01-08
ACCT200234,Dark Web Monitoring,Sanctions Exposure,0.94,Identified in sanctions advisory regarding suspicious financial networks,2025-05-16
ACCT200302,Regulatory Bulletin,Negative Media,0.8,Connected to politically exposed individual under investigation,2024-02-13
CUST90221,Social Media Monitoring,Terror Financing Link,0.8,Named in leaked documents involving offshore tax structures,2025-03-01
CUST90111,Dark Web Monitoring,Shell Company Association,0.96,Linked to offshore shell company registered in Cayman Islands,2024-10-23
CUST90136,Dark Web Monitoring,Shell Company Association,0.5,Identified in sanctions advisory regarding suspicious financial networks,2024-03-31
ACCT200498,Regulatory Bulletin,Sanctions Exposure,0.8,Negative media coverage related to corruption allegations,2024-01-12
ACCT200366,Regulatory Bulletin,Politically Exposed Person Link,0.67,Mentioned in regulatory investigation related to financial misconduct,2025-01-19
CUST90080,Social Media Monitoring,Terror Financing Link,0.74,Linked to offshore shell company registered in Cayman Islands,2025-05-28
ACCT200377,Social Media Monitoring,Shell Company Association,0.53,Referenced in dark web forum discussing illicit financial transfers,2025-06-06
ACCT200444,Financial News Feed,Sanctions Exposure,0.9,Identified in sanctions advisory regarding suspicious financial networks,2025-07-06
ACCT200050,Dark Web Monitoring,Politically Exposed Person Link,0.73,Named in leaked documents involving offshore tax structures,2024-01-18
CUST90244,Sanctions Watchlist,Politically Exposed Person Link,0.97,Associated with high-risk cryptocurrency exchange activity,2024-03-12
ACCT200201,Financial News Feed,Politically Exposed Person Link,0.51,Associated with high-risk cryptocurrency exchange activity,2024-07-21
ACCT200466,Dark Web Monitoring,Shell Company Association,0.87,Referenced in dark web forum discussing illicit financial transfers,2024-02-20
ACCT200137,Financial News Feed,Sanctions Exposure,0.46,Connected to politically exposed individual under investigation,2024-09-08
ACCT200456,Regulatory Bulletin,Shell Company Association,0.7,Named in leaked documents involving offshore tax structures,2025-05-13
CUST90218,Regulatory Bulletin,Shell Company Association,0.87,Identified in sanctions advisory regarding suspicious financial networks,2024-02-21
ACCT200187,Open Source Intelligence,Sanctions Exposure,0.5,Identified in sanctions advisory regarding suspicious financial networks,2024-05-22
ACCT200063,Sanctions Watchlist,Sanctions Exposure,0.83,Identified in sanctions advisory regarding suspicious financial networks,2024-04-17
ACCT200367,Financial News Feed,Shell Company Association,0.65,Mentioned in regulatory investigation related to financial misconduct,2025-07-16
ACCT200245,Regulatory Bulletin,Negative Media,0.79,Named in leaked documents involving offshore tax structures,2024-08-06
ACCT200473,Open Source Intelligence,Fraud Investigation Mention,0.69,Referenced in dark web forum discussing illicit financial transfers,2024-12-05
ACCT200287,Financial News Feed,Politically Exposed Person Link,0.69,Mentioned in regulatory investigation related to financial misconduct,2024-04-08
CUST90243,Regulatory Bulletin,Politically Exposed Person Link,0.77,Referenced in dark web forum discussing illicit financial transfers,2024-07-17
CUST90214,Social Media Monitoring,Sanctions Exposure,0.52,Linked to offshore shell company registered in Cayman Islands,2024-01-03
CUST90268,Dark Web Monitoring,Politically Exposed Person Link,0.76,Referenced in dark web forum discussing illicit financial transfers,2024-08-11
ACCT200076,Open Source Intelligence,Offshore Account Activity,0.98,Connected to politically exposed individual under investigation,2024-07-02
CUST90284,Financial News Feed,Politically Exposed Person Link,0.73,Referenced in dark web forum discussing illicit financial transfers,2024-05-23
ACCT200402,Regulatory Bulletin,Politically Exposed Person Link,0.48,Mentioned in regulatory investigation related to financial misconduct,2025-07-09
ACCT200214,Dark Web Monitoring,Fraud Investigation Mention,0.74,Associated with high-risk cryptocurrency exchange activity,2025-04-12
ACCT200268,Dark Web Monitoring,Terror Financing Link,0.48,Identified in sanctions advisory regarding suspicious financial networks,2025-08-20
CUST90003,Open Source Intelligence,Offshore Account Activity,0.6,Linked to offshore shell company registered in Cayman Islands,2024-03-06
ACCT200153,Regulatory Bulletin,Offshore Account Activity,0.49,Associated with high-risk cryptocurrency exchange activity,2024-07-19
ACCT200178,Social Media Monitoring,Shell Company Association,0.49,Referenced in dark web forum discussing illicit financial transfers,2024-06-03
CUST90095,Dark Web Monitoring,Crypto Laundering Indicator,0.72,Connected to politically exposed individual under investigation,2025-03-04
ACCT200001,Sanctions Watchlist,Crypto Laundering Indicator,0.73,Connected to politically exposed individual under investigation,2024-12-07
ACCT200421,Social Media Monitoring,Terror Financing Link,0.72,Named in leaked documents involving offshore tax structures,2024-07-20
ACCT200411,Open Source Intelligence,Negative Media,0.68,Linked to offshore shell company registered in Cayman Islands,2024-09-08
CUST90293,Social Media Monitoring,Politically Exposed Person Link,0.8,Identified in sanctions advisory regarding suspicious financial networks,2025-02-21
ACCT200491,Sanctions Watchlist,Negative Media,0.72,Named in leaked documents involving offshore tax structures,2024-03-24
ACCT200101,Regulatory Bulletin,Sanctions Exposure,0.79,Connected to politically exposed individual under investigation,2024-12-30
CUST90116,Dark Web Monitoring,Terror Financing Link,0.88,Mentioned in regulatory investigation related to financial misconduct,2025-07-06
CUST90195,Open Source Intelligence,Politically Exposed Person Link,0.57,Negative media coverage related to corruption allegations,2025-01-15
CUST90261,Open Source Intelligence,Shell Company Association,0.64,Identified in sanctions advisory regarding suspicious financial networks,2025-03-21
CUST90299,Open Source Intelligence,Terror Financing Link,0.72,Negative media coverage related to corruption allegations,2024-04-02
ACCT200419,Open Source Intelligence,Crypto Laundering Indicator,0.81,Mentioned in regulatory investigation related to financial misconduct,2024-02-05
CUST90244,Social Media Monitoring,Offshore Account Activity,0.53,Associated with high-risk cryptocurrency exchange activity,2025-04-13
ACCT200369,Regulatory Bulletin,Sanctions Exposure,0.49,Connected to politically exposed individual under investigation,2024-10-25
ACCT200483,Regulatory Bulletin,Terror Financing Link,0.52,Identified in sanctions advisory regarding suspicious financial networks,2024-08-11
ACCT200273,Financial News Feed,Shell Company Association,0.74,Mentioned in regulatory investigation related to financial misconduct,2025-05-03
ACCT200275,Financial News Feed,Fraud Investigation Mention,0.58,Named in leaked documents involving offshore tax structures,2025-06-02
CUST90261,Open Source Intelligence,Crypto Laundering Indicator,0.78,Negative media coverage related to corruption allegations,2024-03-31
ACCT200393,Financial News Feed,Negative Media,0.72,Referenced in dark web forum discussing illicit financial transfers,2025-05-31
ACCT200220,Financial News Feed,Fraud Investigation Mention,0.45,Associated with high-risk cryptocurrency exchange activity,2025-05-08
CUST90241,Open Source Intelligence,Shell Company Association,0.56,Referenced in dark web forum discussing illicit financial transfers,2024-09-04
CUST90154,Open Source Intelligence,Fraud Investigation Mention,0.5,Connected to politically exposed individual under investigation,2025-08-17
CUST90058,Regulatory Bulletin,Sanctions Exposure,0.91,Negative media coverage related to corruption allegations,2025-06-28
ACCT200462,Financial News Feed,Offshore Account Activity,0.73,Connected to politically exposed individual under investigation,2024-12-28
ACCT200159,Regulatory Bulletin,Negative Media,0.65,Identified in sanctions advisory regarding suspicious financial networks,2024-01-13
ACCT200407,Social Media Monitoring,Negative Media,0.61,Negative media coverage related to corruption allegations,2025-02-05
